quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
"Please! Remain in your seats, I beg you! We are not children here, we are scientists! I assure you there is nothing to fear!",Young Frankenstein,movie,1974,please remain in your seats i beg you we are not children here we are scientists i assure you there is nothing to fear,please remain in your seats i beg you we are not children here we are scientists i assure you there is nothing to fear,please remain seat beg child scientist assure nothing fear
"Keep your friends close, but your enemies closer.",The Godfather II,movie,1974,keep your friends close but your enemies closer,keep your friends close but your enemies closer,keep friend close enemy closer
"Now I don't have to tell you good folks what's been happening in our beloved little town. Sheriff murdered, crops burned, stores looted, people stampeded, and cattle raped. The time has come to act, and act fast. I'm leaving.",Blazing Saddles,movie,1974,now i dont have to tell you good folks whats been happening in our beloved little town sheriff murdered crops burned stores looted people stampeded and cattle raped the time has come to act and act fast im leaving,now i don t have to tell you good folks what s been happening in our beloved little town sheriff murdered crops burned stores looted people stampeded and cattle raped the time has come to act and act fast i m leaving,tell good folk happen beloved little town sheriff murder crop burn store loot people stampede cattle rap time come act act fast leave
You're gonna need a bigger boat.,Jaws,movie,1975,youre gonna need a bigger boat,you re gonna need a bigger boat,gon na need big boat
We are the Knights who say... Ni!,Monty Python and the Holy Grail,movie,1975,we are the knights who say ni,we are the knights who say ni,knight say ni
It’s just a flesh wound.,Monty Python and the Holy Grail,movie,1975,it’s just a flesh wound,it s just a flesh wound,flesh wound
Run Away!,Monty Python and the Holy Grail,movie,1975,run away,run away,run away
"Yeah, to you, it's Thanksgiving; to me, it's Thursday.",Rocky,movie,1976,yeah to you its thanksgiving to me its thursday,yeah to you it s thanksgiving to me it s thursday,yeah thanksgiving thursday
You talking to me?,Taxi Driver,movie,1976,you talking to me,you talking to me,talk
"Yo, Adrian!!.",Rocky,movie,1976,yo adrian,yo adrian,yo adrian
Is it safe?,Marathon man,movie,1976,is it safe,is it safe,safe
"If you strike me down, I shall become more powerful than you could possibly imagine.",Star Wars,movie,1977,if you strike me down i shall become more powerful than you could possibly imagine,if you strike me down i shall become more powerful than you could possibly imagine,strike shall become powerful could possibly imagine
"It'll be just like Beggar's Canyon, back home",Star Wars,movie,1977,itll be just like beggars canyon back home,it ll be just like beggar s canyon back home,like beggar canyon back home
May the force be with you,Star Wars,movie,1977,may the force be with you,may the force be with you,may force
When I left you I was but the learner. Now I am the master.,Star Wars Episode IV - A New Hope,movie,1977,when i left you i was but the learner now i am the master,when i left you i was but the learner now i am the master,left learner master
That’s no moon…it’s a space station,Star Wars Episode IV - A New Hope,movie,1977,that’s no moon…it’s a space station,that s no moon it s a space station,moon space station
"All right, but apart from the sanitation, medicine, education, wine, public order, irrigation, roads, the fresh water system and public health, what have the Romans ever done for us?",Monty Python's Life of Brian,movie,1979,all right but apart from the sanitation medicine education wine public order irrigation roads the fresh water system and public health what have the romans ever done for us,all right but apart from the sanitation medicine education wine public order irrigation roads the fresh water system and public health what have the romans ever done for us,right apart sanitation medicine education wine public order irrigation road fresh water system public health roman ever do u
"Oh! It's blessed are the meek! I'm glad they're getting something, they had a hell of a time...",Monty Python's Life of Brian,movie,1979,oh its blessed are the meek im glad theyre getting something they had a hell of a time,oh it s blessed are the meek i m glad they re getting something they had a hell of a time,oh bless meek glad get something hell time
Always look on the Bright Side of Life ... Always look on the Light Side of Life.,Monty Python's Life of Brian,movie,1979,always look on the bright side of life always look on the light side of life,always look on the bright side of life always look on the light side of life,always look bright side life always look light side life
I love the smell of napalm in the morning,Apocalypse Now,movie,1979,i love the smell of napalm in the morning,i love the smell of napalm in the morning,love smell napalm morning
"Choose the sword, and you will join me. Choose the ball and you join your mother, in death. You don’t understand my words, but you must choose. So… come boy, choose life or death.",Shogun Assassin,movie,1980,choose the sword and you will join me choose the ball and you join your mother in death you don’t understand my words but you must choose so… come boy choose life or death,choose the sword and you will join me choose the ball and you join your mother in death you don t understand my words but you must choose so come boy choose life or death,choose sword join choose ball join mother death understand word must choose come boy choose life death
"Joey, have you ever been in a turkish prison?",Airplane,movie,1980,joey have you ever been in a turkish prison,joey have you ever been in a turkish prison,joey ever turkish prison
Looks like I picked the wrong week to quit sniffing glue.,Airplane,movie,1980,looks like i picked the wrong week to quit sniffing glue,looks like i picked the wrong week to quit sniffing glue,look like pick wrong week quit sniff glue
You must unlearn what you have learned.,Star Wars: Episode V - The Empire Strikes Back,movie,1980,you must unlearn what you have learned,you must unlearn what you have learned,must unlearn learn
"Little pigs, little pigs, let me come in! Not by the hair on your chinny chin chin? Then I'll huff... And I'll puff... And I'll blow your house in!",The Shining,movie,1980,little pigs little pigs let me come in not by the hair on your chinny chin chin then ill huff and ill puff and ill blow your house in,little pigs little pigs let me come in not by the hair on your chinny chin chin then i ll huff and i ll puff and i ll blow your house in,little pigs little pig let come hair chinny chin chin huff puff blow house
"Do, or do not. There is no 'try'.",Star Wars: Episode V - The Empire Strikes Back,movie,1980,do or do not there is no try,do or do not there is no try,try
"Luke, I am your father.","Star Wars, Empire Strikes Back",movie,1980,luke i am your father,luke i am your father,luke father
Here's Johnny!,The Shining,movie,1980,heres johnny,here s johnny,johnny
"It's not the years, honey. It's the mileage.",Raiders of the Lost Ark,movie,1981,its not the years honey its the mileage,it s not the years honey it s the mileage,year honey mileage
The sun will come out tomorrow.,Annie,movie,1982,the sun will come out tomorrow,the sun will come out tomorrow,sun come tomorrow
"If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?!",Pink Floyd: The Wall,movie,1982,if you dont eat your meat you cant have any pudding how can you have any pudding if you dont eat your meat,if you don t eat your meat you can t have any pudding how can you have any pudding if you don t eat your meat,eat meat pudding pudding eat meat
"I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhäuser Gate. All those moments will be lost in time, like tears in rain.",Blade Runner,movie,1982,ive seen things you people wouldnt believe attack ships on fire off the shoulder of orion i watched cbeams glitter in the dark near the tannhäuser gate all those moments will be lost in time like tears in rain,i ve seen things you people wouldn t believe attack ships on fire off the shoulder of orion i watched c beams glitter in the dark near the tannh user gate all those moments will be lost in time like tears in rain,see thing people believe attack ship fire shoulder orion watch c beam glitter dark near tannh user gate moment lose time like tear rain
I changed the conditions of the test. I don’t like to lose.,Star Trek II: The Wrath of Khan,movie,1982,i changed the conditions of the test i don’t like to lose,i changed the conditions of the test i don t like to lose,change condition test like lose
Leaping lizards!,Annie,movie,1982,leaping lizards,leaping lizards,leaping lizard
